model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Mokka X,2016,11495,Manual,30345,Diesel,30,65.7,1.6,vauxhall
 Fiesta,2020,19995,Manual,1732,Petrol,145,55.4,1,ford
 X5,2019,49488,Automatic,6748,Petrol,145,27.2,3,BMW
 Fiesta,2016,9695,Manual,25146,Petrol,0,65.7,1,ford
 Golf SV,2018,15490,Manual,23500,Petrol,145,55.4,1.5,volkswagen
 Ioniq,2018,16495,Automatic,28227,Hybrid,135,78.5,1.6,hyundi
 A4,2015,12097,Semi-Auto,48268,Diesel,125,56.5,2,Audi
 Focus,2013,5999,Manual,59477,Petrol,30,56.5,1,ford
 C Class,2019,25699,Semi-Auto,11793,Petrol,145,47.1,1.5,merc
 A Class,2017,19690,Semi-Auto,20124,Diesel,20,67.3,2.1,merc
 Edge,2017,22511,Semi-Auto,25725,Diesel,145,47.9,2,ford
 Polo,2019,12590,Manual,9198,Petrol,150,48.7,1,volkswagen
 Fiesta,2018,10570,Manual,14112,Petrol,145,58.9,1,ford
 Astra,2017,9341,Manual,34621,Diesel,145,76.3,1.6,vauxhall
 Polo,2015,7498,Manual,22208,Petrol,20,60.1,1,volkswagen
 Passat,2015,7393,Manual,124000,Diesel,20,67.3,2,volkswagen
 EcoSport,2019,15495,Automatic,14447,Petrol,145,45.6,1,ford
 Astra,2019,15000,Automatic,6094,Petrol,150,51.4,1.4,vauxhall
 E Class,2017,18999,Automatic,36738,Diesel,145,65.7,2,merc
 Up,2018,7495,Manual,11032,Petrol,145,62.8,1,volkswagen
 Astra,2018,12795,Manual,167,,145,,1.4,vauxhall
 Aygo,2018,9300,Manual,11933,Petrol,145,56.5,1,toyota
 Superb,2019,16998,Semi-Auto,37334,Diesel,150,62.8,2,skoda
 Mokka X,2018,13500,Manual,9046,Petrol,145,47.1,1.4,vauxhall
 Zafira,2017,9970,Manual,32787,Petrol,200,41.5,1.4,vauxhall
 Up,2020,10990,Manual,1201,Petrol,145,54.3,1,volkswagen
