model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Golf SV,2018,15490,Manual,20920,Petrol,145,55.4,1.5,volkswagen
 Focus,2017,11800,Manual,13601,Petrol,20,60.1,1,ford
 Mondeo,2017,12791,Manual,29252,Diesel,150,65.7,2,ford
 1 Series,2017,18290,Manual,21491,Petrol,260,36.2,3,BMW
 A4,2017,17190,Manual,35790,Diesel,30,67.3,2,Audi
 Focus,2017,15440,Manual,19877,Petrol,145,41.5,2,ford
 1 Series,2017,13798,Manual,34446,Diesel,145,65.7,2,BMW
 GLE Class,2020,56995,Semi-Auto,4242,Diesel,150,32.5,2.9,merc
 A3,2015,12999,Manual,32842,Diesel,30,67.3,1.6,Audi
 Fiesta,2013,5790,Manual,40000,Petrol,30,54.3,1.2,ford
 A3,2019,19888,Manual,6161,Diesel,145,56.5,2,Audi
 Land Cruiser,2019,39498,Semi-Auto,12543,Diesel,145,30.1,2.8,toyota
 E Class,2012,12495,Automatic,50000,Diesel,160,53.3,2.1,merc
 Passat,2019,23790,Semi-Auto,5831,Petrol,145,40.4,2,volkswagen
 A4,2019,46450,Automatic,2000,Diesel,145,39.2,3,Audi
 Polo,2016,8995,Manual,17725,Petrol,20,60.1,1,volkswagen
 A6,2016,18900,Manual,37848,Diesel,30,61.4,2,Audi
 B Class,2018,17495,Semi-Auto,6500,Petrol,150,51.4,1.6,merc
 Fiesta,2018,11000,Manual,15000,,145,65.7,1,ford
 3 Series,2019,18999,Automatic,11749,Diesel,145,62.8,2,BMW
 Touran,2018,15998,Semi-Auto,18888,Diesel,145,65.7,1.6,volkswagen
 Mondeo,2015,6793,Manual,130000,Diesel,20,68.9,2,ford
 Yaris,2016,9995,Automatic,46344,,0,,1.5,toyota
 TT,2002,2876,Manual,99000,Petrol,295,30.1,1.8,Audi
 A1,2017,13290,Manual,33574,Diesel,145,76.3,1.6,Audi
 Golf,2020,19850,Manual,5000,Diesel,145,57.7,1.6,volkswagen
 Scirocco,2014,12600,Manual,37506,Diesel,20,55.4,2,volkswagen
 Focus,2018,13490,Manual,13842,Petrol,145,57.7,1,ford
 A1,2019,18990,Manual,291,Petrol,150,46.3,1.5,Audi
 Astra,2020,15998,Manual,10,Petrol,150,54.3,1.2,vauxhall
 Fabia,2019,12648,Semi-Auto,14052,Petrol,145,60.1,1,skoda
 Octavia,2019,26795,Semi-Auto,15,Petrol,145,37.2,2,skoda
 Ka+,2019,9400,Manual,6954,Petrol,145,47.9,1.2,ford
 Mokka,2014,7990,Manual,54000,,145,,1.4,vauxhall
 3 Series,2019,34790,Automatic,123,Diesel,145,50.4,2,BMW
 Astra,2016,7250,Manual,63240,Diesel,0,78.5,1.6,vauxhall
 Kuga,2018,19399,Manual,4883,Diesel,145,47.9,1.5,ford
 Focus,2019,17497,Manual,8493,Petrol,145,60.1,1,ford
 A4,2019,24245,Automatic,4500,Diesel,145,48.7,2,Audi
 GLC Class,2019,36800,Semi-Auto,6112,Diesel,145,40.9,2,merc
 A3,2013,14995,Semi-Auto,38776,Petrol,30,56.5,1.4,Audi
 Polo,2017,9700,Manual,28984,Diesel,145,83.1,1.4,volkswagen
 Mokka X,2019,12499,Manual,10828,,145,39.2,1.4,vauxhall
 Crossland X,2018,11695,Manual,25006,Petrol,145,58.9,1.2,vauxhall
 Astra,2020,14990,Manual,100,Petrol,145,54.3,1.2,vauxhall
 Fiesta,2018,11995,Manual,13832,Petrol,145,65.7,1,ford
 Insignia,2015,5991,Automatic,134000,Diesel,160,50.4,2,vauxhall
 Corsa,2018,9495,Manual,6000,Petrol,145,43.5,1.4,vauxhall
 A5,2019,30000,Automatic,4012,Petrol,145,40.4,2,Audi
 Touareg,2017,27182,Semi-Auto,17325,Diesel,145,42.8,3,volkswagen
 Polo,2016,9545,Manual,20701,Petrol,20,60.1,1.2,volkswagen
 Scala,2020,16995,Manual,1000,Petrol,150,49.6,1,skoda
 B-MAX,2014,7998,Manual,9181,Petrol,30,55.4,1,ford
 A5,2017,18500,Manual,30984,Diesel,145,68.9,2,Audi
 IX20,2017,8995,Automatic,31406,Petrol,145,43.5,1.6,hyundi
 A3,2017,21495,Semi-Auto,9031,Petrol,145,47.9,2,Audi
 Mokka X,2017,13995,Semi-Auto,10757,Petrol,160,43.5,1.4,vauxhall
 A4,2019,22750,Automatic,4797,Petrol,145,39.2,2,Audi
 A Class,2019,25399,Automatic,5976,Diesel,145,56.5,2,merc
 4 Series,2015,10195,Automatic,110720,Diesel,125,61.4,2,BMW
 Astra,2018,11499,Manual,30787,Petrol,145,51.4,1.4,vauxhall
 3 Series,2019,30326,Semi-Auto,3392,,145,,2,BMW
 Scala,2019,13995,Manual,7550,Petrol,145,49.6,1,skoda
 Golf,2016,12500,Manual,18500,Petrol,30,53.3,1.4,volkswagen
 Polo,2019,14923,Manual,4986,Petrol,145,47.9,1,volkswagen
 X6,2019,58900,Automatic,15,Diesel,145,34.9,3,BMW
 IX20,2014,5998,Manual,42386,Diesel,30,64.2,1.6,hyundi
 Mokka X,2018,12295,Manual,15500,Petrol,150,47.1,1.4,vauxhall
 Golf,2016,19681,Semi-Auto,22817,Petrol,160,44.1,2,volkswagen
 Golf,2019,19985,Manual,1226,Diesel,145,57.7,1.6,volkswagen
 Fiesta,2014,6799,Manual,41000,Petrol,30,54.3,1.2,ford
 Aygo,2017,8383,Manual,9989,Petrol,145,68.9,1,toyota
 GLC Class,2019,34499,Semi-Auto,138,,145,,2,merc
 Arteon,2019,24995,Semi-Auto,4989,Diesel,145,50.4,2,volkswagen
 Superb,2019,24960,Semi-Auto,7357,Diesel,145,48.7,2,skoda
 Grand C-MAX,2018,11999,Manual,21384,Petrol,145,54.3,1,ford
 5 Series,2012,11400,Automatic,86674,Diesel,235,43.5,3,BMW
 Focus,2016,8080,Manual,57894,Diesel,0,74.3,1.5,ford
 Fabia,2017,9338,Manual,13518,Petrol,145,64.2,1,skoda
 Citigo,2016,7495,Manual,6044,Petrol,20,62.8,1,skoda
 Up,2018,8990,Manual,9556,Petrol,145,60.1,1,volkswagen
 Kodiaq,2017,22990,Automatic,30272,Petrol,145,39.8,1.4,skoda
 Fiesta,2015,7995,Manual,8700,Petrol,125,54.3,1.2,ford
 Fiesta,2016,7500,Manual,30762,Petrol,0,65.7,1,ford
 Q2,2017,18950,Manual,19638,Petrol,150,52.3,1.4,Audi
 Crossland X,2019,15000,Manual,3375,Petrol,145,44.8,1.2,vauxhall
 A7,2018,29900,Semi-Auto,17693,Diesel,145,52.3,3,Audi
 Grand C-MAX,2017,10999,Automatic,18415,Diesel,30,58.9,1.5,ford
 Auris,2015,7995,Manual,66532,Diesel,20,67.3,1.6,toyota
 RS5,2019,53490,Automatic,1000,Petrol,145,30.4,2.9,Audi
 Kodiaq,2019,29999,Automatic,11364,Diesel,145,39.2,2,skoda
 A Class,2018,19950,Automatic,89,Diesel,145,65.7,1.5,merc
 I20,2017,8795,Manual,10670,,145,58.9,1.2,hyundi
 Corsa,2016,6350,Manual,54000,Petrol,30,55.4,1.4,vauxhall
 GLC Class,2019,32367,Automatic,6257,Diesel,145,56.5,2.1,merc
 Kuga,2018,19900,Manual,4205,,145,39.2,1.5,ford
 C Class,2019,31099,Automatic,1935,Petrol,145,44.1,2,merc
 Focus,2017,11990,Manual,29478,Diesel,145,74.3,1.5,ford
 Polo,2019,15790,Semi-Auto,5000,Petrol,145,46.3,1,volkswagen
 Mokka X,2018,13695,Manual,14995,Petrol,145,47.1,1.4,vauxhall
 Karoq,2019,23850,Manual,7250,Diesel,145,42.8,2,skoda
 Polo,2017,9995,Manual,33568,Petrol,145,60.1,1.2,volkswagen
 A3,2017,19300,Manual,19471,Petrol,145,55.4,1.5,Audi
 Mokka X,2019,12298,Manual,11454,Petrol,145,39.2,1.4,vauxhall
 Tiguan,2017,17981,Semi-Auto,24544,Diesel,160,49.6,2,volkswagen
 A6,2019,26450,Automatic,5950,Diesel,145,50.4,2,Audi
 5 Series,2019,29950,Semi-Auto,4043,Diesel,145,60.1,2,BMW
 Astra,2019,11998,Manual,25763,Petrol,145,51.4,1.4,vauxhall
 Focus,2016,8200,Automatic,47021,Petrol,125,51.4,1,ford
 Q3,2016,16490,Manual,38309,Diesel,145,52.3,2,Audi
 X6,2015,26980,Semi-Auto,51447,Diesel,205,47.1,3,BMW
 Tucson,2020,22495,Manual,50,Petrol,145,34.9,1.6,hyundi
 GLE Class,2017,38248,Automatic,19300,Diesel,145,39.2,3,merc
 A4,2015,9500,Automatic,79813,Petrol,160,45.6,1.8,Audi
 1 Series,2016,10989,Manual,31319,Diesel,20,72.4,1.5,BMW
 I30,2009,2250,Manual,116000,Diesel,30,60.1,1.6,hyundi
 Focus,2018,19490,Manual,9196,Diesel,145,67.3,2,ford
 GLC Class,2017,26989,Automatic,28037,,125,,2.1,merc
 Corsa,2008,2995,Manual,80000,Petrol,165,47.9,1.4,vauxhall
 Polo,2017,10599,Manual,20859,Petrol,150,60.1,1.2,volkswagen
 Octavia,2015,13297,Semi-Auto,47527,Diesel,150,55.4,2,skoda
 Golf,2015,18440,Manual,16794,Petrol,200,39.8,2,volkswagen
 Corsa,2018,8190,Manual,18601,Petrol,145,54.3,1.4,vauxhall
 A1,2015,10965,Manual,47000,Petrol,30,55.4,1.4,Audi
 X5,2016,29985,Automatic,80058,Diesel,235,42.8,3,BMW
 A5,2016,17322,Manual,52405,Diesel,160,53.3,2,Audi
 IX35,2013,6999,Manual,55472,Diesel,145,53.3,1.7,hyundi
 Fiesta,2016,6950,Manual,29699,Petrol,125,54.3,1.2,ford
 Fiesta,2016,8232,Manual,27325,Petrol,125,54.3,1.2,ford
 Focus,2012,6490,Manual,48000,Petrol,30,56.5,1,ford
 Yaris,2017,9230,Manual,4312,Petrol,30,58,1.3,toyota
 Yeti,2017,12296,Semi-Auto,29603,Petrol,125,51.4,1.2,skoda
 GLA Class,2017,21099,Semi-Auto,20000,Diesel,145,56.6,2.1,merc
 Insignia,2017,10260,Manual,38608,Diesel,30,64.2,1.6,vauxhall
 E Class,2015,16298,Automatic,38829,Diesel,160,53.3,3,merc
 C Class,2019,45980,Semi-Auto,4504,Petrol,145,29.7,3,merc
 X3,2016,13400,Automatic,85575,Diesel,150,54.3,2,BMW
 Kodiaq,2018,22499,Manual,15394,Diesel,150,51.4,2,skoda
 EcoSport,2018,14560,Manual,1090,Petrol,145,54.3,1,ford
 Fiesta,2015,6291,Manual,68379,Petrol,0,65.7,1,ford
 Corsa,2018,8690,Manual,2270,Petrol,145,54.3,1.4,vauxhall
 1 Series,2016,12300,Manual,30856,Diesel,20,68.9,2,BMW
 Kuga,2019,19595,Manual,14294,Petrol,145,39.2,1.5,ford
 CLS Class,2013,12975,Automatic,72216,Diesel,200,46.3,3,merc
 Fiesta,2017,8680,Manual,41491,,145,,1,ford
 Astra,2016,8995,Manual,38659,Petrol,125,51.4,1.4,vauxhall
 Tiguan Allspace,2019,27990,Semi-Auto,6008,Petrol,145,35.8,1.5,volkswagen
 Corsa,2017,7995,Manual,20320,Petrol,30,55.4,1.4,vauxhall
 Polo,2010,3695,Manual,102000,Diesel,20,67.3,1.6,volkswagen
 C Class,2017,21750,Automatic,16750,Diesel,125,58.9,2.1,merc
 I800,2018,14000,Manual,38090,Diesel,145,37.7,2.5,hyundi
 Astra,2016,9998,Semi-Auto,36463,,125,,1.6,vauxhall
 Q2,2019,28990,Automatic,2381,Petrol,145,33.2,2,Audi
 IX35,2014,6995,Manual,64021,Diesel,145,53.3,1.7,hyundi
 3 Series,2015,15995,Automatic,33003,Diesel,145,56.5,3,BMW
 1 Series,2017,14610,Semi-Auto,30939,Diesel,30,65.7,2,BMW
 Focus,2019,17000,Manual,7600,Petrol,145,58.9,1,ford
 Fiesta,2018,9695,Manual,16110,Petrol,145,55.4,1.1,ford
 Passat,2019,16495,Manual,14743,Diesel,145,54.3,2,volkswagen
 Ka+,2017,7491,Manual,7000,Petrol,150,57.7,1.2,ford
 Mokka X,2019,12398,Manual,11346,Petrol,145,39.2,1.4,vauxhall
 Fiesta,2016,9790,Manual,22892,Petrol,0,65.7,1,ford
 E Class,2018,27991,Automatic,10327,Petrol,145,40.4,2,merc
 Corsa,2018,10000,Automatic,12000,Petrol,145,47.9,1.4,vauxhall
 Tiguan,2017,17771,Semi-Auto,35630,Diesel,160,49.6,2,volkswagen
 Octavia,2018,12498,Manual,15317,Diesel,150,68.9,1.6,skoda
 Fiesta,2016,9533,Semi-Auto,17457,Petrol,0,57.7,1,ford
 Focus,2019,16730,Manual,4725,Petrol,145,58.9,1,ford
 RAV4,2016,14817,Manual,35286,Diesel,125,60.1,2,toyota
 Focus,2017,12452,Manual,18729,Petrol,145,50.4,1.5,ford
 B-MAX,2017,10000,Manual,29990,Petrol,145,57.7,1,ford
 Adam,2018,9500,Manual,1095,Petrol,150,53.3,1.2,vauxhall
 Fiesta,2017,9300,Manual,29885,Petrol,150,65.7,1,ford
 I10,2017,7795,Manual,16609,Petrol,30,57.7,1.2,hyundi
 Meriva,2017,6999,Manual,65530,Diesel,30,64.2,1.6,vauxhall
 Golf,2019,16500,Semi-Auto,17043,Diesel,145,54.3,1.6,volkswagen
 C Class,2019,29549,Semi-Auto,5071,Diesel,145,55.4,2,merc
 Ka+,2017,6695,Manual,24000,Petrol,30,57.7,1.2,ford
 GLA Class,2018,22412,Automatic,8109,Diesel,145,56.5,2.1,merc
 Polo,2016,11750,Manual,36220,Petrol,20,61.4,1.4,volkswagen
 Passat,2020,21998,Semi-Auto,12,Diesel,145,49.6,1.6,volkswagen
 Mokka X,2019,14190,Manual,13635,Petrol,145,39.2,1.4,vauxhall
 X5,2014,26990,Automatic,37563,Diesel,205,47.1,3,BMW
 Citigo,2013,5000,Manual,32716,Petrol,0,68.9,1,skoda
 Astra,2018,11990,Manual,8075,Petrol,145,51.4,1.4,vauxhall
 EcoSport,2018,13999,Manual,10579,Petrol,145,54.3,1,ford
 Focus,2013,7299,Manual,62943,Diesel,20,67.3,1.6,ford
 X3,2019,35292,Semi-Auto,4599,Diesel,145,54.3,2,BMW
 Ioniq,2017,12800,Automatic,54698,Other,140,78.5,1.6,hyundi
 X3,2019,32995,Semi-Auto,1107,Petrol,145,30.4,2,BMW
 Passat,2018,17998,Manual,6502,Petrol,150,45.6,1.5,volkswagen
 A Class,2019,23500,Semi-Auto,10617,Petrol,150,53.3,1.3,merc
 GTC,2015,6998,Manual,49897,Petrol,165,47.1,1.4,vauxhall
 Polo,2016,9552,Manual,15329,Petrol,20,60.1,1,volkswagen
 Kodiaq,2019,21798,Automatic,14971,Petrol,145,34,1.5,skoda
 3 Series,2016,14991,Semi-Auto,20923,Diesel,20,70.6,2,BMW
 Crossland X,2019,15995,Automatic,9641,Diesel,145,55.4,1.5,vauxhall
 Focus,2017,11000,Manual,17423,Petrol,150,60.1,1,ford
 Golf,2015,16995,Manual,51244,Petrol,205,39.8,2,volkswagen
 Mondeo,2017,9999,Manual,64447,Petrol,145,48.7,1.5,ford
 Kuga,2016,10390,Manual,29325,Diesel,125,60.1,2,ford
 Astra,2014,6999,Manual,33282,Petrol,165,44.8,1.6,vauxhall
 T-Roc,2018,17499,Manual,14944,Petrol,145,53.3,1.5,volkswagen
 Touareg,2020,49999,Semi-Auto,2000,Diesel,145,33.6,3,volkswagen
 Kuga,2017,14999,Automatic,15500,Petrol,240,38.2,1.5,ford
 CL Class,2019,27299,Semi-Auto,3225,Petrol,145,38.2,2,merc
 Ka+,2016,7995,Manual,13057,Petrol,30,57.7,1.2,ford
 Golf,2019,15891,Manual,9898,Petrol,145,47.1,1.5,volkswagen
 Ioniq,2018,15795,Automatic,32360,Hybrid,135,78.5,1.6,hyundi
 I800,2019,16199,Manual,21457,Diesel,145,31.7,2.5,hyundi
 E Class,2017,20998,Semi-Auto,27671,Diesel,145,72.4,2,merc
 I30,2018,11000,Manual,17800,Petrol,150,45.6,1,hyundi
 Kuga,2017,12395,Manual,19000,Petrol,165,45.6,1.5,ford
 Scala,2020,17490,Semi-Auto,50,Petrol,150,47.1,1,skoda
 Edge,2016,17900,Manual,27500,Diesel,160,48.7,2,ford
 Fiesta,2016,7500,Manual,44264,Petrol,0,65.7,1,ford
 Q3,2019,28990,Manual,3629,Petrol,145,39.8,1.5,Audi
 E Class,2017,22299,Semi-Auto,22810,Diesel,145,65.7,2,merc
 Octavia,2019,18495,Semi-Auto,9653,Diesel,145,57.7,2,skoda
 T-Roc,2020,24825,Automatic,975,Petrol,145,39.8,1.5,volkswagen
 GLS Class,2017,38250,Automatic,7201,Diesel,150,37.2,3,merc
 Octavia,2017,11995,Semi-Auto,25391,Petrol,150,57.7,1.4,skoda
 Mokka X,2017,12998,Semi-Auto,5683,Petrol,165,43.5,1.4,vauxhall
 Scirocco,2008,5000,Manual,82156,Petrol,260,37.2,2,volkswagen
 Corsa,2016,7591,Manual,14788,Petrol,30,55.4,1.4,vauxhall
 Up,2018,11995,Manual,12000,Petrol,145,50.4,1,volkswagen
 2 Series,2020,22875,Semi-Auto,13,Petrol,150,50.4,1.5,BMW
 Corsa,2019,10699,Manual,3772,Petrol,145,44.8,1.4,vauxhall
 Fiesta,2018,10495,Manual,10964,Petrol,145,65.7,1,ford
 Kuga,2018,16987,Manual,15925,Petrol,145,45.6,1.5,ford
 Superb,2017,16775,Manual,42271,Diesel,20,67.3,2,skoda
 Q3,2013,14550,Semi-Auto,48627,Petrol,260,36.7,2,Audi
 CL Class,2019,25240,Automatic,14049,Diesel,145,51.4,2.2,merc
 A Class,2019,24669,Semi-Auto,1000,Petrol,145,28.5,2,merc
 Corsa,2017,8500,Manual,18835,Petrol,30,54.3,1.4,vauxhall
 A Class,2016,15295,Automatic,34595,Diesel,20,74.3,1.5,merc
 A4,2019,28000,Automatic,3838,Petrol,145,40.9,2,Audi
 Polo,2019,12856,Manual,12505,Petrol,145,48.7,1,volkswagen
 Edge,2017,20495,Manual,19175,Diesel,150,48.7,2,ford
 Fiesta,2018,10890,Manual,10255,,145,65.7,1,ford
 Yeti,2017,13990,Semi-Auto,16888,Petrol,125,51.4,1.2,skoda
 X5,2019,49750,Automatic,5800,Diesel,150,37.7,3,BMW
 Mokka X,2019,13099,Manual,9251,Petrol,145,39.2,1.4,vauxhall
 Octavia,2018,12698,Manual,15421,Diesel,145,68.9,1.6,skoda
 Corsa,2018,11500,Automatic,16519,,145,,1.4,vauxhall
 C Class,2016,,Semi-Auto,11017,,30,,2.1,merc
 A Class,2017,17498,Automatic,48931,Diesel,20,68.9,2.1,merc
 A4,2016,13298,Manual,85793,Diesel,30,67.3,2,Audi
 Focus,2018,11991,Manual,20595,Diesel,145,74.3,1.5,ford
 C-MAX,2016,7480,Manual,51838,Diesel,20,68.9,1.5,ford
 GLC Class,2017,25995,Semi-Auto,38941,Diesel,145,56.5,2.1,merc
 C-MAX,2019,15489,Manual,3916,Petrol,145,48.7,1,ford
 Q2,2019,22976,Automatic,3951,Petrol,145,42.8,1.5,Audi
 Tucson,2019,15998,Manual,9488,Petrol,145,34.9,1.6,hyundi
 Fiesta,2015,9000,Manual,6589,Petrol,0,65.7,1,ford
 A5,2019,33440,Automatic,18961,Petrol,145,36.7,2,Audi
 Kodiaq,2018,20300,Manual,14652,Diesel,150,52.3,2,skoda
 S-MAX,2019,22979,Manual,8199,Petrol,145,33.6,1.5,ford
 Golf,2017,18042,Semi-Auto,6725,Diesel,30,62.8,2,volkswagen
 2 Series,2019,25449,Automatic,3890,Diesel,145,48.7,2,BMW
 GLE Class,2019,52800,Automatic,3317,Diesel,145,36.7,2,merc
 Superb,2017,14495,Semi-Auto,57506,Diesel,145,58.9,2,skoda
 Fabia,2017,9490,Manual,31150,Petrol,150,64.2,1,skoda
 Viva,2017,6492,Manual,25701,Petrol,20,62.8,1,vauxhall
 C Class,2019,29998,Semi-Auto,836,Petrol,145,43.5,2,merc
 Golf SV,2019,20890,Automatic,4950,Petrol,145,44.1,1.5,volkswagen
 Up,2015,8200,Manual,8283,Petrol,20,60.1,1,volkswagen
 E Class,2016,19402,Semi-Auto,18217,Petrol,160,45.6,2,merc
 Astra,2019,10948,Manual,13184,Petrol,150,47.9,1.4,vauxhall
 X3,2015,18192,Manual,33269,Diesel,160,52.3,2,BMW
 Mondeo,2016,11250,Manual,32426,Diesel,20,68.9,2,ford
 Scala,2019,14928,Manual,6251,Petrol,145,49.6,1,skoda
 A Class,2017,16499,Automatic,19425,Diesel,145,68.9,2.1,merc
 GL Class,2016,17999,Automatic,26511,Diesel,125,56.5,2.1,merc
 Focus,2015,9933,Automatic,16186,Petrol,165,44.8,1.6,ford
 I20,2017,8995,Manual,35500,Petrol,145,62.8,1,hyundi
 C-HR,2017,20491,Automatic,9000,Hybrid,135,74.3,1.8,toyota
 Golf,2016,9889,Manual,44856,Diesel,0,74.3,1.6,volkswagen
 Tucson,2016,12495,Manual,33500,Diesel,30,61.7,1.7,hyundi
 Tiguan,2017,18495,Manual,48100,Diesel,165,50.4,2,volkswagen
 3 Series,2017,18495,Automatic,29681,Petrol,145,48.7,2,BMW
 Fiesta,2017,10999,Automatic,27460,Petrol,145,57.7,1,ford
 Fiesta,2016,9998,Semi-Auto,20069,Petrol,0,57.7,1,ford
 Q3,2015,12999,Manual,46062,Petrol,125,50.4,1.4,Audi
 Q3,2016,16800,Manual,40120,Diesel,150,52.3,2,Audi
 C Class,2015,14000,Automatic,73960,Diesel,30,64.2,2.1,merc
 Puma,2020,20999,Manual,3952,Petrol,150,50.4,1,ford
 X4,2019,35990,Semi-Auto,3098,Diesel,150,42.8,2,BMW
 5 Series,2020,35793,Semi-Auto,15,Petrol,145,48.7,2,BMW
 C Class,2017,19124,Semi-Auto,46938,Diesel,125,58.9,2.1,merc
 CC,2014,9580,Semi-Auto,57954,Diesel,145,53.3,2,volkswagen
 GL Class,2016,18499,Automatic,46864,Diesel,125,56.5,2.1,merc
 Focus,2017,9995,Manual,30091,Diesel,145,74.3,1.5,ford
 2 Series,2019,21858,Manual,123,Diesel,145,61.4,2,BMW
 Fiesta,2018,10890,Manual,10230,Petrol,145,55.4,1.1,ford
 I40,2015,7830,Manual,59508,Diesel,30,65.7,1.7,hyundi
 Touareg,2019,39999,Automatic,11833,Diesel,145,34.5,3,volkswagen
 Passat,2016,12495,Manual,44000,Diesel,20,67.3,2,volkswagen
 CC,2016,11965,Semi-Auto,55000,Diesel,125,56.5,2,volkswagen
 Yaris,2016,8950,Manual,9000,Petrol,30,58,1.3,toyota
 Crossland X,2019,16001,Manual,38000,Petrol,145,47.1,1.2,vauxhall
 Polo,2019,12250,Manual,11703,Petrol,145,48.7,1,volkswagen
 Tiguan,2017,23495,Semi-Auto,30000,Petrol,145,38.2,2,volkswagen
 1 Series,2015,13091,Manual,35000,Diesel,30,65.7,2,BMW
 A Class,2019,24890,Automatic,1440,Diesel,145,56.5,2,merc
 C Class,2017,20990,Automatic,18000,Diesel,145,58.9,2.1,merc
 Yeti Outdoor,2017,11990,Manual,10441,Diesel,150,62.8,2,skoda
 Focus,2018,17000,Manual,14903,Diesel,145,67.3,2,ford
 X5,2013,24000,Automatic,45150,Diesel,200,45.6,3,BMW
 EcoSport,2019,,Manual,3982,,150,,1,ford
 C-MAX,2019,,Automatic,4000,,145,,1.5,ford
 M4,2016,29998,Semi-Auto,34209,Petrol,300,34,3,BMW
 A3,2020,24450,Semi-Auto,1183,Petrol,150,43.5,1.5,Audi
 Astra,2018,9699,Manual,14094,Petrol,145,64.2,1,vauxhall
 Insignia,2019,14998,Manual,27079,Diesel,150,53.3,2,vauxhall
 1 Series,2016,10999,Manual,27681,,0,,1.5,BMW
 Fiesta,2016,7991,Manual,10094,Petrol,125,54.3,1.2,ford
 Focus,2019,14300,Manual,8160,Petrol,145,58.9,1,ford
 Fiesta,2017,12000,Manual,7626,Petrol,20,62.8,1,ford
 Fiesta,2017,7260,Manual,24986,Petrol,125,54.3,1.2,ford
 1 Series,2016,17990,Automatic,14000,Petrol,235,37.7,3,BMW
 Octavia,2019,14650,Automatic,14531,Petrol,145,57.7,1,skoda
 Golf,2014,8500,Automatic,67000,Diesel,20,72.4,1.6,volkswagen
 Astra,2019,14700,Manual,3500,Petrol,145,45.6,1.4,vauxhall
 Ioniq,2017,16491,Automatic,20257,Hybrid,140,78.5,1.6,hyundi
 V Class,2019,44980,Semi-Auto,16,Diesel,145,36.2,2,merc
 A Class,2019,21895,Manual,9,,145,,1.3,merc
 A Class,2019,24999,Semi-Auto,2691,Diesel,145,56.5,2,merc
 C-MAX,2015,9900,Manual,15628,Petrol,30,55.4,1,ford
 I30,2019,17490,Manual,3750,Petrol,145,42.2,1.4,hyundi
 Zafira,2016,10000,Manual,25857,Petrol,200,43,1.4,vauxhall
 Kamiq,2020,18490,Manual,1500,Petrol,145,49.6,1,skoda
 Q3,2017,20890,Manual,13500,Diesel,145,56.5,2,Audi
 Crossland X,2019,13460,Manual,9047,Petrol,145,44.8,1.2,vauxhall
 C Class,2019,31890,Automatic,1499,Petrol,145,44.1,2,merc
 EcoSport,2017,9615,Manual,19347,Petrol,145,52.3,1,ford
 A1,2016,8490,Manual,29000,Diesel,0,76.3,1.6,Audi
 C Class,2019,34919,Semi-Auto,2292,Petrol,145,44.1,1.5,merc
 Fiesta,2019,14320,Manual,9326,Petrol,145,58.9,1,ford
 Kamiq,2020,18990,Automatic,228,Petrol,145,44.1,1.5,skoda
 Avensis,2016,12498,Manual,32189,Petrol,160,45.6,1.8,toyota
 CL Class,2016,17299,Semi-Auto,37993,Diesel,20,67.3,2.1,merc
 E Class,2019,24699,Semi-Auto,14735,Diesel,145,72.4,2,merc
 A6,2014,14798,Semi-Auto,40700,Diesel,30,64.2,2,Audi
 5 Series,2015,13999,Automatic,50558,Diesel,30,62.8,2,BMW
 A1,2019,21490,Semi-Auto,6000,Petrol,145,40.9,2,Audi
 Mokka X,2018,11998,Manual,10044,Petrol,145,39.2,1.4,vauxhall
 Q5,2019,30490,Semi-Auto,6500,Diesel,145,38.2,2,Audi
 Golf,2020,21450,Automatic,3000,Diesel,145,62.8,2,volkswagen
 Yaris,2018,13995,Automatic,9114,Hybrid,135,76.3,1.5,toyota
 Polo,2020,19980,Semi-Auto,500,Petrol,145,46.3,1,volkswagen
 3 Series,2013,10170,Manual,49102,Diesel,125,57.6,2,BMW
 E Class,2019,24944,Automatic,11997,Diesel,145,67.3,2,merc
 S-MAX,2017,17500,Semi-Auto,29570,Diesel,125,52.3,2,ford
 Polo,2015,8195,Manual,32428,Petrol,20,60.1,1,volkswagen
 Kuga,2019,25799,Semi-Auto,3295,Diesel,145,38.7,2,ford
 I30,2015,8375,Automatic,12939,Petrol,200,41.5,1.6,hyundi
 Fiesta,2018,14998,Manual,19772,Petrol,145,62.8,1,ford
 A6,2015,13990,Manual,25000,Diesel,30,65.7,2,Audi
 Astra,2016,9130,Manual,26137,,20,,1.6,vauxhall
 Fiesta,2017,8595,Manual,27183,Petrol,0,65.7,1,ford
 I10,2018,6795,Manual,32331,Petrol,145,57.7,1.2,hyundi
 Astra,2016,9699,Manual,51188,Diesel,20,72.4,1.6,vauxhall
 Corsa,2019,11995,Manual,8500,Petrol,145,44.8,1.4,vauxhall
 Touareg,2018,35495,Semi-Auto,23546,Diesel,145,34.5,3,volkswagen
 Avensis,2010,5495,Manual,79031,Petrol,200,42.2,1.8,toyota
 Mokka,2015,8570,Manual,38144,Diesel,30,62.8,1.7,vauxhall
 Astra,2019,14490,Manual,145,Diesel,145,58.9,1.6,vauxhall
 EcoSport,2017,9880,Manual,12773,Petrol,125,52.3,1,ford
 Astra,2019,10990,Manual,17727,Petrol,150,61.4,1,vauxhall
 Fiesta,2016,8516,Manual,33350,Petrol,20,62.8,1,ford
